llave_estudiante,nombre_estudiante,apellido_paterno,apellido_materno,genero,edad,llave_generacion
0,PEDRO GERARDO,ARELLANOS,ELISERIO,H,17,11
1,PAULINA,PUIG,P,M,21,10
2,AMPELIA,MURIEL,ESPINOS,M,21,10
3,ADRIANA JOSEFINA,AHUMADA,,M,18,5
4,INDALECIA,LABARRIOS,,M,18,5
5,JOSE GONZALO,TRENADO,,H,15,9
6,CESAR OMAR,ESCOPINICHI,PEREGRINO,H,23,9
7,RUTH GEORGINA,AVENDAO,LIZOLA,M,21,6
8,LUCIA,ILIZALITURRI,,M,21,1
9,ROBERTO JOSE,TEQUILIQUIHUA,VIRAMONTES,H,15,10
10,DESIREE,PERPULI,,M,17,4
11,JOSE VALENTIN,MENA,,H,21,9
12,HORTENCIA GUADALUPE,ARRATIA,,M,18,4
13,LAURA ELVIRA,MA,CINTURA,M,18,2
14,ALEXIS,BOLOM,,H,20,11
15,NIEVES,ENRIQUEZ,GOLLOLARTE,H,19,6
16,ZAMIRA,FOSTER,CHIN,M,23,4
17,SERGIO GONZALO,CARRERA,BATIZ,H,19,1
18,IRVING,MONTEJO,FELIPILLO,H,23,10
19,MA. ESPERANZA,GOYTORTUA,MURUETA,M,21,11
20,LUZ BERTHA,TECAMACHALTZI,TARACENA,M,21,9
21,JOCABET,MERCED,ANDUEZA,M,20,10
22,BONIFACIO,CALAN,Y DIAZ,H,21,3
23,CARLOMAGNO,GRUINTAL,ZOLOETA,H,20,10
24,HIRAM,CORCUERA,AMBROCIO,H,23,6
25,ELSA LUCERO,TENREIRO,BARCENAS,M,20,10
26,ELIECER,AREBALO,SEVERO,H,18,6
27,JOSE RAUL,ZABALETA,,H,20,1
28,JESUS JOEL,ELEUTERIO,TAMARINDO,H,19,2
29,MA. ERNESTINA,TISCARENO,REY,M,22,5
30,ALBINO,TAPIA,NAFFATE,H,19,4
31,MONICA MARGARITA,SUCHIL,SAINOS,M,22,7
32,MARILU,ANGON,BERTADILLO,M,21,2
33,LETICIA ROSALIA,MACIP,,M,21,1
34,REYNALDA,SIFUENTES,BOETA,M,18,3
35,JAIME ADRIAN,AVECILLAS,CASASANERO,H,24,1
36,PAULA JOSEFINA,MONARES,CASTELAZO,M,21,7
37,DAVID ELIAS,TIBURCIO,LAUREL,H,21,10
38,PRISCILIANO,MORIEL,CASAUX,H,19,2
39,IRMA ESTELA,OCTAVIANO,BADAJOZ,M,22,5
40,EDNA MARIA,OYARZABAL,,M,19,11
41,GRABIEL,GIRON,,H,19,8
42,RUTH MIREYA,FARRERA,BAZA,M,17,1
43,ELEONOR,BONALES,ALADRO,M,24,6
44,MARIA LIVIER,BARRIONUEVO,VALADES,M,20,10
45,NORMELI,LEY,MIRAFLORES,M,23,6
46,ELEUTERIO,CASANGO,GALDAMEZ,H,20,10
47,KARLA ALICIA,ZAMBRANO,CARERA,M,19,2
48,MIGUEL AGUSTIN,SILVAN,,H,16,4
49,GUADALUPE ERIKA,GUERRA,ANGELES,M,20,4
50,NEIL,CARAVEO,CUAHUA,H,20,11
51,MA AMALIA,MIMIAGA,,M,20,2
52,SINDY,GALLOSO,ESCOPINICHI,M,19,8
53,HECTOR M,SANTILLANA,PEVIA,H,19,10
54,EMMA MARGARITA,MEMBRILA,FLEMATE,M,21,5
55,ALMENDRA GUADALUPE,PITAYO,,M,17,5
56,ENRIQUE EDUARDO,LOBO,GRANO,H,17,5
57,SILVIA YANET,DEANDA,PORTUGUEZ,M,18,7
58,SANDRA BEATRIZ,CHAVARRIETA,CARRASCO,M,22,2
59,SANDRA DALILA,CASTANEDA,,M,24,6
60,ARTURO FRANCISCO,CHEGUE,SARAGOS,H,24,6
61,JESUS GREGORIO,NIEBLAS,CRODA,H,19,3
62,JUAN ALBERTO,ALQUICIREZ,NAVAR,H,20,10
63,JOSUE DANIEL,ALILIO,ARRAMBIDE,H,22,4
64,CHRISTIAN IVAN,IUIT,PALETA,H,23,3
65,MARISSA,CORRALES,QUIJANO,M,19,10
66,SERGIO PABLO,YE,ALLIER,H,12,3
67,JAVIER NICOLAS,JOSE,ANDERICA,H,22,6
68,MARTHA REBECA,AURIOLES,SANTILLANA,M,20,5
69,PATRICIA CAROLINA,CHAVIRA,DEMESA,M,23,7
